entrance_year, course_id, course_category, course_name, course_year, credit_required, credit_elective
2020,KOR 104,武蔵野BASIS,韓国語１Ｄ,1年,0,1
2020,KOR 201,武蔵野BASIS,韓国語２Ａ,2年,0,1
2020,KOR 202,武蔵野BASIS,韓国語２Ｂ,2年,0,1
2020,KOR 203,武蔵野BASIS,韓国語２Ｃ,2年,0,1
2020,KOR 204,武蔵野BASIS,韓国語２Ｄ,2年,0,1
2020,KOR 301,武蔵野BASIS,韓国語３Ａ,3年,0,1
2020,KOR 302,武蔵野BASIS,韓国語３Ｂ,3年,0,1
2020,AL 301,武蔵野BASIS,English for Studying Abroad 1,1・2年,0,1
2020,AL 302,武蔵野BASIS,English for Studying Abroad 2,1・2年,0,1
2020,AL 101,武蔵野BASIS,英語資格・検定試験対策A,1年,0,1
2020,AL 102,武蔵野BASIS,英語資格・検定試験対策B,1年,0,1
2020,JL 101,武蔵野BASIS,⽇本語リテラシー,1年,1,0
2020,SD 101,武蔵野BASIS,基礎セルフディベロップメント,1年,6,0
2020,SD 201,武蔵野BASIS,芸術のすすめ,2年,0,2
2020,SD 202,武蔵野BASIS,数学的ものの考え⽅,2年,0,2
2020,SD 203,武蔵野BASIS,社会現象を分析する,2年,0,2
2020,SD 204,武蔵野BASIS,環境学への展望,2年,0,2
2020,SD 205,武蔵野BASIS,⼈間の⼼理を探る,2年,0,2
2020,SD 206,武蔵野BASIS,⽣命科学と⼈間,2年,0,2
2020,SD 207,武蔵野BASIS,市⺠の社会貢献,2年,0,2
2020,SD 208,武蔵野BASIS,市⺠⽣活と権利を考える,2年,0,2
2020,SD 209,武蔵野BASIS,現代メディアの探求,2年,0,2
2020,SD 210,武蔵野BASIS,社会情報と⽣活,2年,0,2
2020,SD 211,武蔵野BASIS,⽇本の歴史,2年,0,2
2020,SD 212,武蔵野BASIS,外国の歴史,2年,0,2
2020,SD 213,武蔵野BASIS,哲学への探索,2年,0,2
2020,SD 214,武蔵野BASIS,⽂化⼈類学への誘い,2年,0,2
2020,SD 215,武蔵野BASIS,⽂学を読み解く楽しみ,2年,0,2
2020,LAS 101,武蔵野BASIS,全学教養ゼミナール１,1年,0,2
2020,LAS 102,武蔵野BASIS,全学教養ゼミナール２,1年,0,2
